"UPC/EAN/ISBN","Item Name","Category","category_mapped","product_type"
"1149","4Rever Aloe M/ Foot Care Cream 80Ml","cream","Personal Care","Cream/Ointment"
"2712","4Rever Foot Care Cream","other","Personal Care","Cream/Ointment"
"8017","Aqueous In Salicylic Acid 5% Cream","cream","Personal Care","Cream/Ointment"
"3914","Caremax Plaster 2X5 (Non Alergic)","Other","Other","Unit"
"2760","Livolin Forte","other","Other","Unit"
"7994","Odazyth 250Mg","Tablet","Medicine","Tablet"
"9663","Ra Thermoseal 50Mg","tooth paste","Other","Unit"
"6254","3% Salcilic Acid In Emulsifying","cream","Personal Care","Cream/Ointment"
"6255","4% Salcilic Acid In Emulsifying","cream","Personal Care","Cream/Ointment"
"6111","4Rever Fw 50Ml","Other","Other","Unit"
"1146","4Rever Aloe 94% 100G","gel","Medicine","Cream/Ointment"
"5880","4Rever Aloe 94% 50G","Other","Other","Unit"
"5580","4Rever Aloe Vera Gel 100%","jel","Medicine","Cream/Ointment"
"1068","4Rever Anti Acne Treatment","other","Other","Unit"
"2814","4Rever Black Head & White Head Remover","Other","Other","Unit"
"6110","4Rever Body Milk 100Ml","Other","Beverage","Unit"
"9581","4Rever Body Wash 300Ml","body clear","Personal Care","Unit"
"9586","4Rever Cucumber Cleansing Milk 100Ml","other","Beverage","Unit"
"5895","4Rever Day Cream","cream","Personal Care","Cream/Ointment"
"5581","4Rever Deep Cleansing","FACE WASH","Personal Care","Unit"
"9214","4Rever Face Wash 100Ml","other","Personal Care","Unit"
"5771","4Rever Fair Beauty 25G","cream","Personal Care","Cream/Ointment"
"2726","4Rever Gold Body Milk 100Ml","Other","Beverage","Unit"
"10030","4Rever Gold Face Wash","other","Personal Care","Unit"
"9582","4Rever Gold Face Wash 100Ml","face wash","Personal Care","Unit"
"6112","4Rever Kohomba F W 50Ml","Other","Other","Unit"
"9587","4Rever Kohomba Kaha Deep Cleansing Milk 100Ml","other","Beverage","Unit"
"9656","4Rever Kohomba Kaha Face Scrub 60G","scrub","Other","Unit"
"3351","4Rever Lunuwila Shampoo 180Ml","shampoo","Personal Care","Unit"
"6115","4Rever Lunuwila Shampoo 80Ml","shampoo","Personal Care","Unit"
"4175","4Rever Nail Lacquer Remover","Other","Other","Unit"
"2725","4Rever Night Cream","Other","Personal Care","Cream/Ointment"
"6113","4Rever Shampoo 180Ml","Other","Personal Care","Unit"
"6117","4Rever Shampoo 80Ml","Other","Personal Care","Unit"
"9583","4Rever Skin Toner 100Ml","other","Personal Care","Unit"
"5582","4Rever Sun Cream","cream","Personal Care","Cream/Ointment"
"9684","4Rever Sun Cream100g","cream","Personal Care","Cream/Ointment"
"1062","4Rever Under Eye Jel","jel","Other","Cream/Ointment"
"9584","4Rever Vitamin E Cream","cream","Personal Care","Cream/Ointment"
"7688","A Scabs Lotion 30Ml","Lotion","Personal Care","Cream/Ointment"
"6686","A Z Vitamine","vitamin","Other","Unit"
"8268","A-scab","others","Other","Unit"
"4178","Aba Thel 25Ml","oil","Other","Unit"
"9533","Abamec-d","Tablet","Medicine","Tablet"
"5125","Abana","Tablet","Medicine","Tablet"
"9612","Abha 5 Miinute","liquid","Other","Unit"
"9613","Abha Black Henna Hair Colour Powder","powder","Other","Unit"
"5962","Accu-chek 10S","strips","Other","Unit"
"6071","Accu-chek 25S","Other","Other","Unit"
"8395","Accu-chek Meter","machine","Other","Unit"
"7505","Ace 125Mg","suppo","Medicine","Unit"
"2071","Ace 250 Suppo","suppositories","Medicine","Unit"
"9766","Acetazolamid 250Mg Spc","table","Other","Unit"
"1037","Acetazolamide 250Mg","Tablet","Medicine","Tablet"
"1041","Acifree O Suspetion","syrup","Medicine","Syrup"
"1042","Aciherpin 200Mg","Tablet","Medicine","Tablet"
"1043","Aciherpin 400Mg","Tablet","Medicine","Tablet"
"9542","Aciherpin 5Mg Cream","cream","Personal Care","Cream/Ointment"
"5565","Aciherpin 800Mg","Tablet","Medicine","Tablet"
"1045","Aciloc 150","Tablet","Medicine","Tablet"
"1428","Aclin Jel","cream","Personal Care","Cream/Ointment"
"9169","Aclofen 100","other","Other","Unit"
"1055","Acnes Creamy Wash 50G","Other","Personal Care","Unit"
"1057","Acnes Sealing Gel 3S","Other","Medicine","Cream/Ointment"
"5238","Acnesol Gel","gel","Medicine","Cream/Ointment"
"9054","Acnil Face Wash","FACE WASH","Personal Care","Unit"
"1152","Acnil Soap","soap","Personal Care","Unit"
"1060","Action (Vanila) 400G","Tin","Other","Packet"
"1577","Action Milk Powder New","milk powder","Snack","Unit"
"9609","Actrapid Hm Penfil","Other","Other","Unit"
"1066","Acular Ls Eye Drop","other","Other","Drops"
"2021","Acuvail Solution 0.45%","solution","Other","Unit"
"8029","Acyclovir 200Mg","Tablet","Medicine","Tablet"
"3495","Acyvir Eye Ointment","eye oinment","Medicine","Cream/Ointment"
"1069","Adaferin Gel","cream","Personal Care","Cream/Ointment"
"1070","Adapco Cream 15G","cream","Personal Care","Cream/Ointment"
"1071","Adapco Gel 15G","gel","Medicine","Cream/Ointment"
"1074","Adclear 60 G","Other","Medicine","Unit"
"1078","Adiflam 50","Tablet","Medicine","Tablet"
"1079","Adiflam Gel 30G","cream","Personal Care","Cream/Ointment"
"1509","Adipin Jel","cream","Personal Care","Cream/Ointment"
"1082","Admenta 10 Mg","Tablet","Medicine","Tablet"
"1083","Admenta 5Mg","Tablet","Medicine","Tablet"
"1167","Adult Diaper Pant M","Diapers","Baby Care","Unit"
"7539","Adult Diapers L","DIAPER","Baby Care","Unit"
"8133","Adult Diapers Xl","diapers","Baby Care","Unit"
"1084","Advanced Weight Gainer 500Gm","Tin","Other","Packet"
"4471","Aerochamber Easy 1-2-3","other","Other","Unit"
"6587","Aerolife Spacer","other","Other","Unit"
"1091","Aeromate Plus","Other","Other","Unit"
"5995","Aerospacer Plus Device","Other","Other","Unit"
"1050","Afm 0.1% Eye Drop","eye drops","Medicine","Drops"
"1101","Air Wick Liquid 450Ml","Spray","Personal Care","Unit"
"1102","Air X 80Mg","Tablet","Medicine","Tablet"
"1103","Airpore 2Inch * 5.5Yd","","Other","Unit"
